Numero,Nome,Tipos
001,Bulbasaur,"['Grass', 'Poison']"
002,Ivysaur,"['Grass', 'Poison']"
003,Venusaur,"['Grass', 'Poison']"
004,Charmander,['Fire']
005,Charmeleon,['Fire']
006,Charizard,"['Flying', 'Fire']"
007,Squirtle,['Water']
008,Wartortle,['Water']
009,Blastoise,['Water']
010,Caterpie,['Bug']
011,Metapod,['Bug']
012,Butterfree,"['Flying', 'Bug']"
013,Weedle,"['Poison', 'Bug']"
014,Kakuna,"['Poison', 'Bug']"
015,Beedrill,"['Poison', 'Bug']"
016,Pidgey,"['Normal', 'Flying']"
017,Pidgeotto,"['Normal', 'Flying']"
018,Pidgeot,"['Normal', 'Flying']"
019,Rattata,['Normal']
020,Raticate,['Normal']
021,Spearow,"['Normal', 'Flying']"
022,Fearow,"['Normal', 'Flying']"
023,Ekans,['Poison']
024,Arbok,['Poison']
025,Pikachu,['Electric']
026,Raichu,['Electric']
027,Sandshrew,['Ground']
028,Sandslash,['Ground']
029,Nidoran♀,['Poison']
030,Nidorina,['Poison']
031,Nidoqueen,"['Poison', 'Ground']"
032,Nidoran♂,['Poison']
033,Nidorino,['Poison']
034,Nidoking,"['Poison', 'Ground']"
035,Clefairy,['Fairy']
036,Clefable,['Fairy']
037,Vulpix,['Fire']
038,Ninetales,['Fire']
039,Jigglypuff,"['Normal', 'Fairy']"
040,Wigglytuff,"['Normal', 'Fairy']"
041,Zubat,"['Poison', 'Flying']"
042,Golbat,"['Poison', 'Flying']"
043,Oddish,"['Grass', 'Poison']"
044,Gloom,"['Grass', 'Poison']"
045,Vileplume,"['Grass', 'Poison']"
046,Paras,"['Grass', 'Bug']"
047,Parasect,"['Grass', 'Bug']"
048,Venonat,"['Poison', 'Bug']"
049,Venomoth,"['Poison', 'Bug']"
050,Diglett,['Ground']
051,Dugtrio,['Ground']
052,Meowth,['Normal']
053,Persian,['Normal']
054,Psyduck,['Water']
055,Golduck,['Water']
056,Mankey,['Fighting']
057,Primeape,['Fighting']
058,Growlithe,['Fire']
059,Arcanine,['Fire']
060,Poliwag,['Water']
061,Poliwhirl,['Water']
062,Poliwrath,"['Water', 'Fighting']"
063,Abra,['Psychic']
064,Kadabra,['Psychic']
065,Alakazam,['Psychic']
066,Machop,['Fighting']
067,Machoke,['Fighting']
068,Machamp,['Fighting']
069,Bellsprout,"['Grass', 'Poison']"
070,Weepinbell,"['Grass', 'Poison']"
071,Victreebel,"['Grass', 'Poison']"
072,Tentacool,"['Water', 'Poison']"
073,Tentacruel,"['Water', 'Poison']"
074,Geodude,"['Ground', 'Rock']"
075,Graveler,"['Ground', 'Rock']"
076,Golem,"['Ground', 'Rock']"
077,Ponyta,['Fire']
078,Rapidash,['Fire']
079,Slowpoke,"['Water', 'Psychic']"
080,Slowbro,"['Water', 'Psychic']"
081,Magnemite,"['Steel', 'Electric']"
082,Magneton,"['Steel', 'Electric']"
083,Farfetch'd,"['Normal', 'Flying']"
084,Doduo,"['Normal', 'Flying']"
085,Dodrio,"['Normal', 'Flying']"
086,Seel,['Water']
087,Dewgong,"['Water', 'Ice']"
088,Grimer,['Poison']
089,Muk,['Poison']
090,Shellder,['Water']
091,Cloyster,"['Water', 'Ice']"
092,Gastly,"['Poison', 'Ghost']"
093,Haunter,"['Poison', 'Ghost']"
094,Gengar,"['Poison', 'Ghost']"
095,Onix,"['Ground', 'Rock']"
096,Drowzee,['Psychic']
097,Hypno,['Psychic']
098,Krabby,['Water']
099,Kingler,['Water']
100,Voltorb,['Electric']
101,Electrode,['Electric']
102,Exeggcute,"['Grass', 'Psychic']"
103,Exeggutor,"['Grass', 'Psychic']"
104,Cubone,['Ground']
105,Marowak,['Ground']
106,Hitmonlee,['Fighting']
107,Hitmonchan,['Fighting']
108,Lickitung,['Normal']
109,Koffing,['Poison']
110,Weezing,['Poison']
111,Rhyhorn,"['Ground', 'Rock']"
112,Rhydon,"['Ground', 'Rock']"
113,Chansey,['Normal']
114,Tangela,['Grass']
115,Kangaskhan,['Normal']
116,Horsea,['Water']
117,Seadra,['Water']
118,Goldeen,['Water']
119,Seaking,['Water']
120,Staryu,['Water']
121,Starmie,"['Water', 'Psychic']"
122,Mr. Mime,"['Fairy', 'Psychic']"
123,Scyther,"['Flying', 'Bug']"
124,Jynx,"['Ice', 'Psychic']"
125,Electabuzz,['Electric']
126,Magmar,['Fire']
127,Pinsir,['Bug']
128,Tauros,['Normal']
129,Magikarp,['Water']
130,Gyarados,"['Water', 'Flying']"
131,Lapras,"['Water', 'Ice']"
132,Ditto,['Normal']
133,Eevee,['Normal']
134,Vaporeon,['Water']
135,Jolteon,['Electric']
136,Flareon,['Fire']
137,Porygon,['Normal']
138,Omanyte,"['Water', 'Rock']"
139,Omastar,"['Water', 'Rock']"
140,Kabuto,"['Water', 'Rock']"
141,Kabutops,"['Water', 'Rock']"
142,Aerodactyl,"['Flying', 'Rock']"
143,Snorlax,['Normal']
144,Articuno,"['Ice', 'Flying']"
145,Zapdos,"['Flying', 'Electric']"
146,Moltres,"['Flying', 'Fire']"
147,Dratini,['Dragon']
148,Dragonair,['Dragon']
149,Dragonite,"['Dragon', 'Flying']"
150,Mewtwo,['Psychic']
151,Mew,['Psychic']
152,Chikorita,['Grass']
153,Bayleef,['Grass']
154,Meganium,['Grass']
155,Cyndaquil,['Fire']
156,Quilava,['Fire']
157,Typhlosion,['Fire']
158,Totodile,['Water']
159,Croconaw,['Water']
160,Feraligatr,['Water']
161,Sentret,['Normal']
162,Furret,['Normal']
163,Hoothoot,"['Normal', 'Flying']"
164,Noctowl,"['Normal', 'Flying']"
165,Ledyba,"['Flying', 'Bug']"
166,Ledian,"['Flying', 'Bug']"
167,Spinarak,"['Poison', 'Bug']"
168,Ariados,"['Poison', 'Bug']"
169,Crobat,"['Poison', 'Flying']"
170,Chinchou,"['Water', 'Electric']"
171,Lanturn,"['Water', 'Electric']"
172,Pichu,['Electric']
173,Cleffa,['Fairy']
174,Igglybuff,"['Normal', 'Fairy']"
175,Togepi,['Fairy']
176,Togetic,"['Flying', 'Fairy']"
177,Natu,"['Flying', 'Psychic']"
178,Xatu,"['Flying', 'Psychic']"
179,Mareep,['Electric']
180,Flaaffy,['Electric']
181,Ampharos,['Electric']
182,Bellossom,['Grass']
183,Marill,"['Water', 'Fairy']"
184,Azumarill,"['Water', 'Fairy']"
185,Sudowoodo,['Rock']
186,Politoed,['Water']
187,Hoppip,"['Grass', 'Flying']"
188,Skiploom,"['Grass', 'Flying']"
189,Jumpluff,"['Grass', 'Flying']"
190,Aipom,['Normal']
191,Sunkern,['Grass']
192,Sunflora,['Grass']
193,Yanma,"['Flying', 'Bug']"
194,Wooper,"['Water', 'Ground']"
195,Quagsire,"['Water', 'Ground']"
196,Espeon,['Psychic']
197,Umbreon,['Dark']
198,Murkrow,"['Flying', 'Dark']"
199,Slowking,"['Water', 'Psychic']"
200,Misdreavus,['Ghost']
201,Unown,['Psychic']
202,Wobbuffet,['Psychic']
203,Girafarig,"['Normal', 'Psychic']"
204,Pineco,['Bug']
205,Forretress,"['Steel', 'Bug']"
206,Dunsparce,['Normal']
207,Gligar,"['Flying', 'Ground']"
208,Steelix,"['Steel', 'Ground']"
209,Snubbull,['Fairy']
210,Granbull,['Fairy']
211,Qwilfish,"['Water', 'Poison']"
212,Scizor,"['Steel', 'Bug']"
213,Shuckle,"['Rock', 'Bug']"
214,Heracross,"['Fighting', 'Bug']"
215,Sneasel,"['Ice', 'Dark']"
216,Teddiursa,['Normal']
217,Ursaring,['Normal']
218,Slugma,['Fire']
219,Magcargo,"['Fire', 'Rock']"
220,Swinub,"['Ice', 'Ground']"
221,Piloswine,"['Ice', 'Ground']"
222,Corsola,"['Water', 'Rock']"
223,Remoraid,['Water']
224,Octillery,['Water']
225,Delibird,"['Ice', 'Flying']"
226,Mantine,"['Water', 'Flying']"
227,Skarmory,"['Steel', 'Flying']"
228,Houndour,"['Fire', 'Dark']"
229,Houndoom,"['Fire', 'Dark']"
230,Kingdra,"['Water', 'Dragon']"
231,Phanpy,['Ground']
232,Donphan,['Ground']
233,Porygon2,['Normal']
234,Stantler,['Normal']
235,Smeargle,['Normal']
236,Tyrogue,['Fighting']
237,Hitmontop,['Fighting']
238,Smoochum,"['Ice', 'Psychic']"
239,Elekid,['Electric']
240,Magby,['Fire']
241,Miltank,['Normal']
242,Blissey,['Normal']
243,Raikou,['Electric']
244,Entei,['Fire']
245,Suicune,['Water']
246,Larvitar,"['Ground', 'Rock']"
247,Pupitar,"['Ground', 'Rock']"
248,Tyranitar,"['Dark', 'Rock']"
249,Lugia,"['Flying', 'Psychic']"
250,Ho-Oh,"['Flying', 'Fire']"
251,Celebi,"['Grass', 'Psychic']"
252,Treecko,['Grass']
253,Grovyle,['Grass']
254,Sceptile,['Grass']
255,Torchic,['Fire']
256,Combusken,"['Fighting', 'Fire']"
257,Blaziken,"['Fighting', 'Fire']"
258,Mudkip,['Water']
259,Marshtomp,"['Water', 'Ground']"
260,Swampert,"['Water', 'Ground']"
261,Poochyena,['Dark']
262,Mightyena,['Dark']
263,Zigzagoon,['Normal']
264,Linoone,['Normal']
265,Wurmple,['Bug']
266,Silcoon,['Bug']
267,Beautifly,"['Flying', 'Bug']"
268,Cascoon,['Bug']
269,Dustox,"['Poison', 'Bug']"
270,Lotad,"['Water', 'Grass']"
271,Lombre,"['Water', 'Grass']"
272,Ludicolo,"['Water', 'Grass']"
273,Seedot,['Grass']
274,Nuzleaf,"['Grass', 'Dark']"
275,Shiftry,"['Grass', 'Dark']"
276,Taillow,"['Normal', 'Flying']"
277,Swellow,"['Normal', 'Flying']"
278,Wingull,"['Water', 'Flying']"
279,Pelipper,"['Water', 'Flying']"
280,Ralts,"['Fairy', 'Psychic']"
281,Kirlia,"['Fairy', 'Psychic']"
282,Gardevoir,"['Fairy', 'Psychic']"
283,Surskit,"['Water', 'Bug']"
284,Masquerain,"['Flying', 'Bug']"
285,Shroomish,['Grass']
286,Breloom,"['Grass', 'Fighting']"
287,Slakoth,['Normal']
288,Vigoroth,['Normal']
289,Slaking,['Normal']
290,Nincada,"['Ground', 'Bug']"
291,Ninjask,"['Flying', 'Bug']"
292,Shedinja,"['Ghost', 'Bug']"
293,Whismur,['Normal']
294,Loudred,['Normal']
295,Exploud,['Normal']
296,Makuhita,['Fighting']
297,Hariyama,['Fighting']
298,Azurill,"['Normal', 'Fairy']"
299,Nosepass,['Rock']
300,Skitty,['Normal']
301,Delcatty,['Normal']
302,Sableye,"['Ghost', 'Dark']"
303,Mawile,"['Steel', 'Fairy']"
304,Aron,"['Steel', 'Rock']"
305,Lairon,"['Steel', 'Rock']"
306,Aggron,"['Steel', 'Rock']"
307,Meditite,"['Fighting', 'Psychic']"
308,Medicham,"['Fighting', 'Psychic']"
309,Electrike,['Electric']
310,Manectric,['Electric']
311,Plusle,['Electric']
312,Minun,['Electric']
313,Volbeat,['Bug']
314,Illumise,['Bug']
315,Roselia,"['Grass', 'Poison']"
316,Gulpin,['Poison']
317,Swalot,['Poison']
318,Carvanha,"['Water', 'Dark']"
319,Sharpedo,"['Water', 'Dark']"
320,Wailmer,['Water']
321,Wailord,['Water']
322,Numel,"['Fire', 'Ground']"
323,Camerupt,"['Fire', 'Ground']"
324,Torkoal,['Fire']
325,Spoink,['Psychic']
326,Grumpig,['Psychic']
327,Spinda,['Normal']
328,Trapinch,['Ground']
329,Vibrava,"['Dragon', 'Ground']"
330,Flygon,"['Dragon', 'Ground']"
331,Cacnea,['Grass']
332,Cacturne,"['Grass', 'Dark']"
333,Swablu,"['Normal', 'Flying']"
334,Altaria,"['Dragon', 'Flying']"
335,Zangoose,['Normal']
336,Seviper,['Poison']
337,Lunatone,"['Rock', 'Psychic']"
338,Solrock,"['Rock', 'Psychic']"
339,Barboach,"['Water', 'Ground']"
340,Whiscash,"['Water', 'Ground']"
341,Corphish,['Water']
342,Crawdaunt,"['Water', 'Dark']"
343,Baltoy,"['Ground', 'Psychic']"
344,Claydol,"['Ground', 'Psychic']"
345,Lileep,"['Grass', 'Rock']"
346,Cradily,"['Grass', 'Rock']"
347,Anorith,"['Bug', 'Rock']"
348,Armaldo,"['Bug', 'Rock']"
349,Feebas,['Water']
350,Milotic,['Water']
351,Castform,['Normal']
352,Kecleon,['Normal']
353,Shuppet,['Ghost']
354,Banette,['Ghost']
355,Duskull,['Ghost']
356,Dusclops,['Ghost']
357,Tropius,"['Grass', 'Flying']"
358,Chimecho,['Psychic']
359,Absol,['Dark']
360,Wynaut,['Psychic']
361,Snorunt,['Ice']
362,Glalie,['Ice']
363,Spheal,"['Ice', 'Water']"
364,Sealeo,"['Ice', 'Water']"
365,Walrein,"['Ice', 'Water']"
366,Clamperl,['Water']
367,Huntail,['Water']
368,Gorebyss,['Water']
369,Relicanth,"['Water', 'Rock']"
370,Luvdisc,['Water']
371,Bagon,['Dragon']
372,Shelgon,['Dragon']
373,Salamence,"['Dragon', 'Flying']"
374,Beldum,"['Steel', 'Psychic']"
375,Metang,"['Steel', 'Psychic']"
376,Metagross,"['Steel', 'Psychic']"
377,Regirock,['Rock']
378,Regice,['Ice']
379,Registeel,['Steel']
380,Latias,"['Dragon', 'Psychic']"
381,Latios,"['Dragon', 'Psychic']"
382,Kyogre,['Water']
383,Groudon,['Ground']
384,Rayquaza,"['Dragon', 'Flying']"
385,Jirachi,"['Steel', 'Psychic']"
386,Deoxys,['Psychic']
387,Turtwig,['Grass']
388,Grotle,['Grass']
389,Torterra,"['Grass', 'Ground']"
390,Chimchar,['Fire']
391,Monferno,"['Fighting', 'Fire']"
392,Infernape,"['Fighting', 'Fire']"
393,Piplup,['Water']
394,Prinplup,['Water']
395,Empoleon,"['Water', 'Steel']"
396,Starly,"['Normal', 'Flying']"
397,Staravia,"['Normal', 'Flying']"
398,Staraptor,"['Normal', 'Flying']"
399,Bidoof,['Normal']
400,Bibarel,"['Normal', 'Water']"
401,Kricketot,['Bug']
402,Kricketune,['Bug']
403,Shinx,['Electric']
404,Luxio,['Electric']
405,Luxray,['Electric']
406,Budew,"['Grass', 'Poison']"
407,Roserade,"['Grass', 'Poison']"
408,Cranidos,['Rock']
409,Rampardos,['Rock']
410,Shieldon,"['Steel', 'Rock']"
411,Bastiodon,"['Steel', 'Rock']"
412,Burmy,['Bug']
413,Wormadam,"['Grass', 'Ground', 'Bug', 'Steel']"
414,Mothim,"['Flying', 'Bug']"
415,Combee,"['Flying', 'Bug']"
416,Vespiquen,"['Flying', 'Bug']"
417,Pachirisu,['Electric']
418,Buizel,['Water']
419,Floatzel,['Water']
420,Cherubi,['Grass']
421,Cherrim,['Grass']
422,Shellos,['Water']
423,Gastrodon,"['Water', 'Ground']"
424,Ambipom,['Normal']
425,Drifloon,"['Flying', 'Ghost']"
426,Drifblim,"['Flying', 'Ghost']"
427,Buneary,['Normal']
428,Lopunny,['Normal']
429,Mismagius,['Ghost']
430,Honchkrow,"['Flying', 'Dark']"
431,Glameow,['Normal']
432,Purugly,['Normal']
433,Chingling,['Psychic']
434,Stunky,"['Poison', 'Dark']"
435,Skuntank,"['Poison', 'Dark']"
436,Bronzor,"['Steel', 'Psychic']"
437,Bronzong,"['Steel', 'Psychic']"
438,Bonsly,['Rock']
439,Mime Jr.,"['Fairy', 'Psychic']"
440,Happiny,['Normal']
441,Chatot,"['Normal', 'Flying']"
442,Spiritomb,"['Ghost', 'Dark']"
443,Gible,"['Dragon', 'Ground']"
444,Gabite,"['Dragon', 'Ground']"
445,Garchomp,"['Dragon', 'Ground']"
446,Munchlax,['Normal']
447,Riolu,['Fighting']
448,Lucario,"['Steel', 'Fighting']"
449,Hippopotas,['Ground']
450,Hippowdon,['Ground']
451,Skorupi,"['Poison', 'Bug']"
452,Drapion,"['Poison', 'Dark']"
453,Croagunk,"['Fighting', 'Poison']"
454,Toxicroak,"['Fighting', 'Poison']"
455,Carnivine,['Grass']
456,Finneon,['Water']
457,Lumineon,['Water']
458,Mantyke,"['Water', 'Flying']"
459,Snover,"['Grass', 'Ice']"
460,Abomasnow,"['Grass', 'Ice']"
461,Weavile,"['Ice', 'Dark']"
462,Magnezone,"['Steel', 'Electric']"
463,Lickilicky,['Normal']
464,Rhyperior,"['Ground', 'Rock']"
465,Tangrowth,['Grass']
466,Electivire,['Electric']
467,Magmortar,['Fire']
468,Togekiss,"['Flying', 'Fairy']"
469,Yanmega,"['Flying', 'Bug']"
470,Leafeon,['Grass']
471,Glaceon,['Ice']
472,Gliscor,"['Flying', 'Ground']"
473,Mamoswine,"['Ice', 'Ground']"
474,Porygon-Z,['Normal']
475,Gallade,"['Fighting', 'Psychic']"
476,Probopass,"['Steel', 'Rock']"
477,Dusknoir,['Ghost']
478,Froslass,"['Ice', 'Ghost']"
479,Rotom,"['Ghost', 'Electric']"
480,Uxie,['Psychic']
481,Mesprit,['Psychic']
482,Azelf,['Psychic']
483,Dialga,"['Steel', 'Dragon']"
484,Palkia,"['Water', 'Dragon']"
485,Heatran,"['Steel', 'Fire']"
486,Regigigas,['Normal']
487,Giratina,"['Dragon', 'Ghost']"
488,Cresselia,['Psychic']
489,Phione,['Water']
490,Manaphy,['Water']
491,Darkrai,['Dark']
492,Shaymin,['Grass']
493,Arceus,['Normal']
494,Victini,"['Fire', 'Psychic']"
495,Snivy,['Grass']
496,Servine,['Grass']
497,Serperior,['Grass']
498,Tepig,['Fire']
499,Pignite,"['Fighting', 'Fire']"
500,Emboar,"['Fighting', 'Fire']"
501,Oshawott,['Water']
502,Dewott,['Water']
503,Samurott,['Water']
504,Patrat,['Normal']
505,Watchog,['Normal']
506,Lillipup,['Normal']
507,Herdier,['Normal']
508,Stoutland,['Normal']
509,Purrloin,['Dark']
510,Liepard,['Dark']
511,Pansage,['Grass']
512,Simisage,['Grass']
513,Pansear,['Fire']
514,Simisear,['Fire']
515,Panpour,['Water']
516,Simipour,['Water']
517,Munna,['Psychic']
518,Musharna,['Psychic']
519,Pidove,"['Normal', 'Flying']"
520,Tranquill,"['Normal', 'Flying']"
521,Unfezant,"['Normal', 'Flying']"
522,Blitzle,['Electric']
523,Zebstrika,['Electric']
524,Roggenrola,['Rock']
525,Boldore,['Rock']
526,Gigalith,['Rock']
527,Woobat,"['Flying', 'Psychic']"
528,Swoobat,"['Flying', 'Psychic']"
529,Drilbur,['Ground']
530,Excadrill,"['Steel', 'Ground']"
